iter	Passed	Remaining
0	321	321569
1	323	161557
2	324	108004
3	326	81188
4	327	65108
5	328	54384
6	329	46755
7	330	41008
8	331	36539
9	332	32959
10	334	30032
11	335	27591
12	336	25544
13	338	23822
14	339	22288
15	340	20941
16	341	19751
17	342	18693
18	343	17746
19	344	16895
20	345	16126
21	347	15431
22	348	14792
23	349	14207
24	350	13670
25	352	13199
26	353	12736
27	354	12309
28	355	11907
29	356	11533
30	357	11183
31	359	10860
32	360	10553
33	361	10263
34	362	9991
35	363	9731
36	364	9487
37	365	9264
38	367	9056
39	368	8847
40	369	8647
41	370	8461
42	372	8280
43	373	8106
44	374	7940
45	375	7783
46	376	7635
47	377	7490
48	378	7351
49	379	7217
50	381	7104
51	383	6983
52	384	6863
53	385	6747
54	386	6635
55	387	6528
56	388	6424
57	389	6324
58	390	6229
59	391	6136
60	392	6045
61	393	5958
62	395	5882
63	397	5807
64	398	5729
65	399	5653
66	400	5577
67	401	5497
68	402	5425
69	403	5356
70	404	5290
71	405	5225
72	406	5161
73	407	5099
74	408	5039
75	409	4981
76	411	4937
77	413	4883
78	414	4829
79	415	4775
80	416	4723
81	417	4672
82	418	4622
83	419	4574
84	420	4523
85	421	4477
86	421	4428
87	423	4383
88	424	4341
89	425	4305
90	427	4269
91	428	4231
92	430	4193
93	431	4159
94	433	4125
95	434	4087
96	435	4050
97	436	4014
98	437	3979
99	438	3944
100	439	3911
101	440	3873
102	442	3855
103	444	3830
104	446	3803
105	447	3773
106	448	3742
107	449	3711
108	450	3682
109	451	3653
110	452	3624
111	453	3596
112	455	3578
113	457	3553
114	458	3528
115	459	3500
116	460	3476
117	461	3451
118	462	3424
119	463	3399
120	464	3375
121	465	3351
122	466	3324
123	467	3300
124	468	3277
125	469	3255
126	471	3240
127	473	3223
128	474	3203
129	475	3182
130	476	3161
131	477	3141
132	478	3120
133	479	3100
134	480	3080
135	481	3060
136	483	3042
137	483	3022
138	485	3006
139	487	2995
140	488	2979
141	490	2961
142	491	2943
143	492	2925
144	493	2908
145	494	2891
146	495	2875
147	496	2858
148	497	2842
149	498	2826
150	499	2810
151	501	2799
