iter	Passed	Remaining
0	79	79474
1	80	40305
2	81	27241
3	83	20715
4	84	16805
5	91	15141
6	93	13199
7	94	11722
8	95	10557
9	97	9626
10	98	8866
11	99	8232
12	101	7733
13	103	7272
14	104	6864
15	105	6504
16	107	6189
17	108	5915
18	109	5662
19	110	5431
20	112	5224
21	113	5039
22	120	5122
23	122	4970
24	123	4815
25	124	4671
26	125	4535
27	127	4412
28	128	4297
29	130	4216
30	131	4119
31	132	4021
32	134	3930
33	135	3844
34	136	3766
35	137	3688
36	139	3618
37	140	3547
38	141	3479
39	142	3414
40	143	3353
41	145	3322
42	147	3278
43	148	3229
44	149	3179
45	150	3129
46	151	3080
47	153	3037
48	155	3008
49	156	2966
50	157	2929
51	158	2892
52	159	2857
53	161	2821
54	162	2785
55	163	2750
56	164	2716
57	165	2683
58	166	2652
59	167	2622
60	174	2679
61	175	2653
62	177	2633
63	178	2604
64	179	2577
65	180	2551
66	181	2525
67	182	2500
68	184	2486
69	185	2465
70	186	2444
71	187	2421
72	188	2399
73	189	2377
74	191	2356
75	192	2335
76	193	2314
77	194	2296
78	195	2276
79	196	2257
80	197	2239
81	204	2287
82	205	2265
83	206	2252
84	207	2235
85	208	2218
86	209	2201
87	210	2184
88	211	2168
89	212	2153
90	214	2143
91	215	2131
92	217	2117
93	218	2104
94	219	2090
95	220	2076
96	221	2062
97	222	2049
98	223	2037
99	224	2024
100	225	2011
101	227	2000
102	228	1988
103	230	1986
104	232	1979
105	233	1969
106	234	1959
107	236	1950
108	237	1938
109	238	1927
110	240	1922
111	241	1914
112	242	1903
113	243	1893
114	244	1883
115	245	1872
116	246	1860
117	247	1851
118	248	1841
119	249	1831
120	250	1822
121	251	1811
122	252	1803
123	258	1828
124	260	1822
125	261	1815
126	262	1805
127	263	1797
128	264	1788
129	265	1779
130	267	1772
131	268	1764
132	269	1759
133	271	1754
134	272	1747
135	273	1738
136	274	1730
137	275	1722
138	276	1715
139	277	1707
140	279	1699
141	279	1691
142	281	1684
143	282	1676
144	283	1669
145	288	1689
146	290	1683
147	291	1676
148	292	1671
149	293	1665
150	294	1658
151	295	1651
152	296	1644
153	298	1638
154	299	1631
155	301	1630
156	302	1623
157	303	1617
158	304	1611
159	305	1604
160	306	1596
161	307	1590
162	308	1583
163	309	1577
164	310	1571
165	311	1566
166	312	1560
167	313	1554
168	318	1566
169	320	1566
170	322	1565
171	324	1560
172	325	1556
173	326	1551
174	327	1545
175	328	1539
176	330	1536
177	332	1534
178	333	1529
179	334	1524
180	335	1518
181	336	1513
182	337	1507
183	338	1502
184	339	1497
185	340	1491
186	341	1486
187	342	1481
188	344	1476
189	350	1495
190	352	1492
191	353	1489
192	354	1484
193	355	1478
194	357	1473
195	358	1468
196	359	1464
197	360	1459
198	362	1459
199	364	1456
200	365	1452
201	366	1447
202	367	1443
203	368	1438
204	369	1433
205	370	1429
206	371	1424
207	372	1420
208	373	1415
209	374	1410
210	380	1424
211	382	1421
212	384	1420
213	385	1416
214	386	1411
215	387	1407
216	388	1402
217	389	1398
218	391	1394
219	392	1392
220	394	1389
221	395	1386
222	397	1384
223	398	1380
224	399	1377
225	403	1382
226	406	1383
227	409	1385
228	410	1382
229	411	1379
230	413	1375
231	414	1371
232	417	1374
233	419	1373
234	421	1371
235	422	1369
236	424	1367
237	426	1365
238	428	1363
239	437	1385
240	442	1393
241	444	1392
242	447	1394
243	449	1392
244	450	1388
245	451	1383
246	452	1380
247	453	1375
248	454	1371
249	455	1367
250	456	1363
251	457	1359
252	458	1354
253	459	1350
254	466	1362
255	467	1359
256	469	1356
257	470	1353
258	471	1349
259	472	1345
260	474	1342
261	475	1338
262	476	1335
263	478	1333
264	479	1329
265	480	1325
266	481	1322
267	482	1318
268	483	1314
269	484	1310
270	485	1306
271	486	1303
272	487	1299
273	488	1295
274	490	1291
275	502	1316
276	504	1316
277	506	1316
278	510	1318
279	511	1314
280	512	1310
281	513	1307
282	514	1303
283	515	1299
284	516	1295
285	517	1292
286	518	1288
287	519	1285
288	520	1281
289	521	1277
290	529	1290
291	533	1293
292	539	1300
293	541	1299
294	545	1304
295	548	1304
296	549	1301
297	551	1298
298	552	1294
299	553	1291
300	562	1307
301	565	1308
302	568	1307
303	571	1307
304	573	1305
305	574	1303
306	576	1301
307	577	1297
308	581	1299
309	583	1299
310	587	1301
311	590	1302
312	593	1302
313	595	1301
314	596	1298
315	598	1294
316	599	1291
317	600	1288
318	601	1285
319	603	1281
320	608	1286
321	609	1284
322	611	1281
323	612	1278
324	614	1275
325	615	1272
326	616	1268
327	617	1265
328	618	1261
329	620	1260
330	621	1257
331	623	1254
332	624	1250
333	625	1247
334	626	1243
335	627	1240
336	628	1236
337	629	1233
338	630	1230
339	632	1227
340	633	1223
341	638	1228
342	640	1226
343	641	1223
344	643	1221
345	644	1218
346	645	1215
347	647	1212
348	648	1209
349	649	1206
350	651	1204
351	652	1201
352	653	1198
353	654	1194
354	655	1191
355	656	1188
356	657	1185
357	659	1182
358	660	1178
359	661	1175
360	662	1172
361	663	1169
362	673	1182
363	679	1186
364	681	1185
365	683	1184
366	685	1181
367	686	1179
368	687	1176
369	688	1172
370	689	1169
371	691	1166
372	692	1163
373	693	1160
374	694	1157
375	701	1163
376	702	1161
377	704	1159
378	705	1155
379	706	1152
380	707	1149
381	708	1146
382	709	1143
383	711	1140
384	712	1138
385	713	1135
386	714	1132
387	716	1129
388	717	1126
389	718	1123
390	719	1120
391	720	1117
392	722	1115
393	723	1112
394	724	1110
395	735	1122
396	737	1119
397	738	1116
398	739	1114
399	741	1111
400	743	1110
401	745	1108
402	746	1105
403	747	1102
404	748	1099
405	749	1096
406	750	1093
407	751	1090
408	752	1087
409	753	1084
410	755	1082
411	756	1079
412	767	1091
413	769	1088
414	770	1085
415	771	1082
416	773	1080
417	775	1079
418	776	1076
419	777	1073
420	778	1070
421	779	1067
422	780	1064
423	781	1061
424	782	1058
425	783	1055
426	784	1052
427	785	1049
428	786	1047
429	787	1044
430	795	1049
431	796	1047
432	797	1044
433	798	1041
434	799	1038
435	800	1036
436	802	1033
437	803	1030
438	804	1028
439	806	1025
440	807	1023
441	808	1020
442	809	1017
443	810	1014
444	811	1011
445	812	1009
446	813	1006
447	814	1003
448	815	1000
449	816	998
450	817	995
451	825	1000
452	827	998
453	828	996
454	829	994
455	831	991
456	838	996
457	841	996
458	843	994
459	844	991
460	845	988
461	846	986
462	847	983
463	848	980
464	859	988
465	861	987
466	863	985
467	864	983
468	867	982
469	869	980
470	870	978
471	873	977
472	875	975
473	878	974
474	888	982
475	890	980
476	891	977
477	893	975
478	894	972
479	895	969
480	897	968
481	899	966
482	900	963
483	901	961
484	902	958
485	904	956
486	906	955
487	909	954
488	910	951
489	912	949
490	914	947
491	915	945
492	917	943
493	918	940
494	921	940
495	923	938
496	925	936
497	927	934
498	929	933
